Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SW_SPST_CK_KMS2xxGP,1,BOOT,
C1,0402,1,47nf,
"C10, C11",0402,2,0.1uf,
"C12, C13, C6, C7, C8, C9",0402,6,10uf,
"C14, C15, C16, C18, C19, C2, C20",0402,7,100nf,
"C17, C5",0402,2,1nf,
C3,0402,1,10nf,
C4,0402,1,22nf,
"D2, D5",0402,2,BACKFEED_PREVENT,
D3,0805,1,POWER,
D4,0805,1,ERROR,
J1,TE_2466268-1,1,SPDIF,
J2,936,1,MONO RCA,
J4,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,1,AudioJack3_Ground,
"LEFT1, RIGHT1",Texas_DRB0008A,2,TPA6203A1DRB,
Q1,SOT-23-3,1,BC846,
R1,0402,1,3.3k,
"R10, R11, R12, R16",0402,4,33R,
"R13, R14, R15, R17, R18, R19, R6, R7, R8",0402,9,47k,
R2,0402,1,330,
R3,0402,1,100,
"R4, R5",0402,2,1k2,
R9,0402,1,3k,
RST1,SW_SPST_CK_KMS2xxGP,1,RST,
U1,XIAO-RP2350-SMD,1,XIAO-RP2350-SMD,
U2,TO-92L_Inline_Wide,1,MCP130-xxxDxTO,
U3,TSSOP-28_4.4x9.7mm_P0.65mm,1,CS8416-xNZ,
U4,TSSOP-10_3x3mm_P0.5mm,1,CS434x-xZZ,
